Word	Count
pls	5
screaming	5
opponent	5
reforms	5
strategy	5
king's	5
transparent	5
filled	5
harder	5
sincerely	5
didnt	5
rating	5
gratitude	5
vegan	5
experienced	5
owning	5
prevented	5
officials	5
notice	5
raising	5
zones	5
complaining	5
horrible	5
guard	5
duty	5
nationalwalkoutday	5
tennessee	5
saheedvassell	5
ferguson	5
base	5
emotion	5
curious	5
nwo	5
fo	5
present	5
tour	5
app	5
scho	5
anymore	5
tribute	5
quality	5
throw	5
dave	5
inaction	5
gentlemen	5
confirmed	5
nut	5
govt	5
growing	5
extra	5
immediately	5
bahari	5
estimates	5
educators	5
protected	5
stormy	5
television	5
army	5
missing	5
percent	5
arming	5
rail	5
impossible	5
raises	5
meaningful	5
davidhoggwash	5
reminding	5
attempt	5
scenes	5
whe	5
modern	5
introduce	5
jail	5
acting	5
i.p	5
pittsburgh	5
cat	5
serve	5
provide	5
nashville	5
apr	5
exploit	5
lockupyourguns	5
updated	5
beautifully	5
rude	5
congratulations	5
heal	5
customer	5
hatch	5
stevens	5
heavily	5
hypocrites	5
financial	5
milk	5
woodstock	5
columbus	5
lebron	5
virginia	5
images	5
publicly	5
disarming	5
diego	5
legislators	5
schoolers	5
lobby	5
vt	5
trade	5
fail	5
proceeds	5
internet	5
gofundme	5
sex	5
shouldn’t	5
md	5
torch	5
holocaust	5
we’ll	5
thursdaythoughts	5
sho	5
groomed	5
wakeupamerica	5
fascist	5
sisters	5
urgent	5
wondered	5
fam	5
cry	5
raiser	5
nikolas	5
ana	5
traveling	5
photography	5
condemned	5
honour	5
agendas	5
executed	5
experts	5
yea	5
teenager	5
alaska	5
blatant	5
repealed	5
jobs	5
sponsorship	5
remain	5
rallied	5
minute	5
criticizing	5
revolutionary	5
filing	5
saving	5
marcorubio	5
potential	5
values	5
dogs	5
actors	5
sacramento	5
operation	5
kim	5
prop	5
cancelled	5
pinned	5
department	5
impacted	5
awe	5
suffered	5
ag	5
amal	5
lo	5
evidence	5
affiliate	5
pin	5
enter	5
coordinated	5
rid	5
pays	5
applaud	5
tarr	5
valid	5
tucson	5
fireingraham	5
dana	5
tool	5
strikes	5
administration	5
tr	5
cousin	5
lt	5
stopping	5
mirror	5
cowards	5
evening	5
yesterday’s	5
directed	5
careful	5
hot	5
socialist	5
nationalists	5
donna	5
stayed	5
possibly	5
backed	5
vietnam	5
typical	5
strongertogether	5
leaked	5
blocked	5
bans	5
milwaukee	5
june	5
egg	5
carolina	5
explains	5
automatic	5
neveragainmovement	5
roseanne	5
strategist	5
nbc	5
palestinians	5
trend	5
oppose	5
inspiration	5
nc	5
gun-control	5
raleigh	5
nasty	5
stepped	5
surprise	5
performances	5
gunshot	5
apologizing	5
problems	5
guards	5
rules	5
anger	5
reach	5
grandfather	5
christians	5
interested	5
enjoying	5
doc	5
cop	5
steal	5
ingraham's	5
hypocrite	5
daughters	5
intersectionality	5
suggests	5
peeps	5
updates	5
fails	5
rain	5
eligible	5
immigration	5
minority	5
topic	5
suicide	5
schooler	5
madness	5
tbt	5
attendees	5
east	5
box	5
restrict	5
clips	5
trevon	5
nikolascruz	5
pure	5
jennifer	5
underwood	5
youtubeshooting	5
forgotten	5
flew	5
nah	5
female	5
proven	5
tools	5
cross	5
behavior	5
marchforourlivessf	5
wars	5
senseless	5
boise	5
christopher	5
detail	5
confidence	5
found/tonight	5
commit	5
injured	5
leg	5
weren’t	5
gunsensenow	5
inform	5
laughing	5
hateful	5
tragic	5
blaming	5
globe	5
privacy	5
brutality	5
nra’s	5
hilarious	5
pope	5
manhattan	5
politician	5
crap	5
green	5
ap	4
vetsforgunreform	4
steven	4
abortionismurder	4
jesse	4
neverevertrustatrump	4
distinction	4
abdallah	4
dumbest	4
legislature	4
worldwide	4
injustice	4
failing	4
bannon	4
iwillvote	4
fixing	4
studentsdeserve	4
mccarron	4
accept	4
else’s	4
smile	4
remarks	4
sweeping	4
peoples	4
receive	4
ty	4
transportation	4
belong	4
drunk	4
station	4
genocide	4
rip	4
rushes	4
pair	4
milly	4
demonstrations	4
slaves	4
essay	4
trumps	4
aid	4
txlege	4
funerals	4
machine	4
indianapolis	4
deerfield	4
victories	4
replaced	4
paint	4
earlier	4
eye	4
lawmaker	4
sos	4
pockets	4
people's	4
incident	4
traitors	4
sharp	4
firm	4
germany	4
ineffective	4
scripture	4
physically	4
jump	4
tripadvisor	4
ottawa	4
gunsafety	4
forming	4
backlash	4
salesman	4
exists	4
awww	4
loves	4
empty	4
rednationrising	4
tea	4
murderer	4
accepting	4
countries	4
millennial	4
oberhausen	4
ship	4
journalism	4
changetheref	4
backstage	4
middle-east	4
angels	4
jeff	4
responsibility	4
sexualpredatortrump	4
forced	4
canadian	4
governor	4
expects	4
series	4
carlson	4
he’d	4
awkward	4
miranda	4
muñoz	4
exciting	4
engage	4
graphic	4
oregon	4
loaded	4
pandering	4
despicable	4
grew	4
wounds	4
peop	4
wha	4
braved	4
notmypresident	4
arts	4
ages	4
stocks	4
buses	4
chapter	4
metro	4
thei	4
reduce	4
vinyl	4
refused	4
gov't	4
socialists	4
commitment	4
manipulating	4
covering	4
yoder	4
peopl	4
grieving	4
protege	4
saturdaymorning	4
prom	4
filed	4
lil	4
magiccity	4
pledge	4
teaching	4
producer	4
va	4
glass	4
nasimaghdam	4
concluded	4
fast	4
overwhelming	4
slave	4
sort	4
sessions	4
atlanta's	4
darling	4
toilet	4
trudeau	4
joaquin	4
rick	4
union	4
segment	4
kodak	4
dignity	4
opponents	4
american’s	4
arbaje-thomas	4
assume	4
timesup	4
stream	4
reporter	4
nigerian	4
easily	4
apologies	4
d’arcy	4
christabel	4
lifetime	4
affects	4
hour	4
promotion	4
mueller	4
sarah	4
recovering	4
pointing	4
residents	4
eagles	4
angela	4
